"filename", "language", "Java", "Java Properties", "HTML", "XML", "Batch", "comment", "blank", "total"
"/Users/saugatsingh/Documents/Projects/Softwarica/class/.mvn/wrapper/maven-wrapper.properties", "Java Properties", 0, 2, 0, 0, 0, 0, 1, 3
"/Users/saugatsingh/Documents/Projects/Softwarica/class/mvnw.cmd", "Batch", 0, 0, 0, 0, 118, 51, 37, 206
"/Users/saugatsingh/Documents/Projects/Softwarica/class/pom.xml", "XML", 0, 0, 0, 110, 0, 11, 3, 124
"/Users/saugatsingh/Documents/Projects/Softwarica/class/src/main/java/com/example/demo/ClassApplication.java", "Java", 17, 0, 0, 0, 0, 7, 4, 28
"/Users/saugatsingh/Documents/Projects/Softwarica/class/src/main/java/com/example/demo/config/PasswordEncoderConfig.java", "Java", 10, 0, 0, 0, 0, 0, 4, 14
"/Users/saugatsingh/Documents/Projects/Softwarica/class/src/main/java/com/example/demo/config/RestExceptionHandler.java", "Java", 17, 0, 0, 0, 0, 0, 5, 22
"/Users/saugatsingh/Documents/Projects/Softwarica/class/src/main/java/com/example/demo/controller/ApiController.java", "Java", 30, 0, 0, 0, 0, 0, 8, 38
"/Users/saugatsingh/Documents/Projects/Softwarica/class/src/main/java/com/example/demo/controller/CommentController.java", "Java", 20, 0, 0, 0, 0, 0, 7, 27
"/Users/saugatsingh/Documents/Projects/Softwarica/class/src/main/java/com/example/demo/controller/FollowController.java", "Java", 12, 0, 0, 0, 0, 0, 5, 17
"/Users/saugatsingh/Documents/Projects/Softwarica/class/src/main/java/com/example/demo/controller/LikeController.java", "Java", 33, 0, 0, 0, 0, 0, 11, 44
"/Users/saugatsingh/Documents/Projects/Softwarica/class/src/main/java/com/example/demo/controller/PostController.java", "Java", 31, 0, 0, 0, 0, 0, 9, 40
"/Users/saugatsingh/Documents/Projects/Softwarica/class/src/main/java/com/example/demo/controller/UserController.java", "Java", 28, 0, 0, 0, 0, 0, 8, 36
"/Users/saugatsingh/Documents/Projects/Softwarica/class/src/main/java/com/example/demo/dto/CredentialsDto.java", "Java", 4, 0, 0, 0, 0, 0, 4, 8
